,MUNICIPIO,DEPARTAMENTO,VOTOS.x,VOTOS.y,supp
91,BARBACOAS,NARI„O,6194,1349,21.7791411
92,BARBOSA,ANTIOQUIA,16340,8472,51.84822521
93,BARBOSA,SANTANDER,11533,5016,43.49258649
94,BARICHARA,SANTANDER,3373,1953,57.90097836
95,BARRANCA DE UPIA,META,2127,1282,60.27268453
96,BARRANCABERMEJA,SANTANDER,84619,19000,22.45358607
97,BARRANCAS,LA GUAJIRA,9858,2530,25.66443498
98,BARRANCO DE LOBA,BOLIVAR,4616,2777,60.16031196
99,BARRANCO MINAS,GUAINIA,410,142,34.63414634
100,BARRANQUILLA,ATLANTICO,365516,85732,23.45506079
101,BECERRIL,CESAR,6709,1655,24.66835594
102,BELALCAZAR,CALDAS,5024,3284,65.36624204
103,BELEN,BOYACA,3709,2246,60.55540577
104,BELEN,NARI„O,2788,1070,38.37876614
105,BELEN DE LOS ANDAQUIES,CAQUETA,3280,2206,67.25609756
106,BELEN DE UMBRIA,RISARALDA,11202,8519,76.04891984
108,BELLO,ANTIOQUIA,130734,65336,49.97628773
109,BELMIRA,ANTIOQUIA,2061,1045,50.70354197
110,BELTRAN,CUNDINAMARCA,937,456,48.66595518
111,BERBEO,BOYACA,687,349,50.80058224
112,BETANIA,ANTIOQUIA,3386,2715,80.18310691
113,BETEITIVA,BOYACA,974,442,45.3798768
114,BETULIA,ANTIOQUIA,5847,4628,79.15170173
115,BETULIA,SANTANDER,1965,1024,52.11195929
116,BITUIMA,CUNDINAMARCA,1250,756,60.48
117,BOAVITA,BOYACA,2445,1692,69.20245399
118,BOCHALEMA,NORTE DE SANTANDER,3524,1618,45.91373439
119,BOGOTA. D.C.,"BOGOTA, D.C.",2631907,1076816,40.91390767
120,BOJACA,CUNDINAMARCA,3599,1685,46.81856071
121,BOJAYA,CHOCO,2058,350,17.00680272
122,BOLIVAR,ANTIOQUIA,9701,7125,73.44603649
123,BOLIVAR,CAUCA,13587,2060,15.16155148
124,BOLIVAR,SANTANDER,4319,2058,47.64991896
125,BOLIVAR,VALLE DEL CAUCA,5841,3489,59.73292244
127,BOSCONIA,CESAR,10738,4434,41.2926057
128,BOYACA,BOYACA,2089,1282,61.36907611
130,BRICE„O,ANTIOQUIA,1289,794,61.59813809
131,BRICE„O,BOYACA,1075,693,64.46511628
132,BUCARAMANGA,SANTANDER,240328,92660,38.55564062
133,BUCARASICA,NORTE DE SANTANDER,1942,1333,68.64057673
134,BUENAVENTURA,VALLE DEL CAUCA,86526,15247,17.62129302
135,BUENAVISTA,BOYACA,2447,1536,62.77073968
136,BUENAVISTA,CORDOBA,8505,1750,20.57613169
137,BUENAVISTA,QUINDIO,1552,769,49.54896907
138,BUENAVISTA,SUCRE,4977,1223,24.57303597
139,BUENOS AIRES,CAUCA,7563,1267,16.7526114
140,BUENOS AIRES,VAUPES,102,22,21.56862745
141,BUESACO,NARI„O,8727,4749,54.41732554
142,BUGA,VALLE DEL CAUCA,46984,13483,28.69700324
143,BUGALAGRANDE,VALLE DEL CAUCA,9606,2398,24.96356444
144,BURITICA,ANTIOQUIA,2195,1273,57.99544419
145,BUSBANZA,BOYACA,406,247,60.83743842
146,CA„ASGORDAS,ANTIOQUIA,7036,4105,58.34280841
147,CABRERA,CUNDINAMARCA,1581,493,31.1827957
148,CABRERA,SANTANDER,925,506,54.7027027
149,CABUYARO,META,2381,1423,59.7648047
150,CACAHUAL,GUAINIA,52,10,19.23076923
151,CACERES,ANTIOQUIA,7818,2468,31.568176
152,CACHIPAY,CUNDINAMARCA,4564,2223,48.70727432
153,CACHIRA,NORTE DE SANTANDER,3569,2838,79.51807229
154,CACOTA,NORTE DE SANTANDER,1139,730,64.09130817
155,CAICEDO,ANTIOQUIA,2882,2295,79.63219986
156,CAICEDONIA,VALLE DEL CAUCA,13119,8144,62.07790228
157,CAIMITO,SUCRE,4995,1006,20.14014014
158,CAJAMARCA,TOLIMA,8296,6041,72.81822565
159,CAJIBIO,CAUCA,10038,2478,24.68619247
160,CAJICA,CUNDINAMARCA,20290,9019,44.45046821
161,CALAMAR,BOLIVAR,7695,3020,39.24626381
