CODIGO DANE,DEPARTAMENTO,MUNICIPIO,PERSONAS EXPULSADAS,PERSONAS RECIBIDAS,PERSONAS DECLARADAS
44090,LA GUAJIRA,DIBULLA,28269,14923,13368
44279,LA GUAJIRA,FONSECA,9233,9982,9879
25168,CUNDINAMARCA,CHAGUANI,1393,373,575
25178,CUNDINAMARCA,CHIPAQUE,218,130,136
25320,CUNDINAMARCA,GUADUAS,1964,1859,1600
25324,CUNDINAMARCA,GUATAQUI,123,43,46
25592,CUNDINAMARCA,QUEBRADANEGRA,888,342,551
25649,CUNDINAMARCA,SAN BERNARDO,681,246,262
25736,CUNDINAMARCA,SESQUILE,55,131,156
25745,CUNDINAMARCA,SIMIJACA,64,103,70
25486,CUNDINAMARCA,NEMOCON,14,267,242
25506,CUNDINAMARCA,VENECIA,1072,533,566
41359,HUILA,ISNOS,5563,3544,3829
41503,HUILA,OPORAPA,1616,1152,1103
41518,HUILA,PAICOL,139,381,386
41660,HUILA,SALADOBLANCO,1693,1744,1780
41676,HUILA,SANTA MARIA,2455,1060,1012
25779,CUNDINAMARCA,SUSA,17,2,
25805,CUNDINAMARCA,TIBACUY,1440,440,903
52490,NARI„O,OLAYA HERRERA,15792,6567,6643
52560,NARI„O,POTOSI,455,745,738
52585,NARI„O,PUPIALES,143,518,503
52687,NARI„O,SAN LORENZO,1208,2139,2085
54128,NORTE DE SANTANDER,CACHIRA,2864,554,448
54239,NORTE DE SANTANDER,DURANIA,262,235,251
25898,CUNDINAMARCA,ZIPACON,5,127,79
52287,NARI„O,FUNES,462,272,328
52885,NARI„O,YACUANQUER,140,333,290
54001,NORTE DE SANTANDER,CUCUTA,25075,99940,93556
54003,NORTE DE SANTANDER,ABREGO,7842,3617,3546
47660,MAGDALENA,SABANAS DE SAN ANGEL,17941,2558,11908
47720,MAGDALENA,SANTA BARBARA DE PINTO,618,779,500
50606,META,RESTREPO,1081,2533,2350
50001,META,VILLAVICENCIO,10159,112078,111923
50223,META,SAN LUIS DE CUBARRAL,1528,1643,1587
54405,NORTE DE SANTANDER,LOS PATIOS,1047,3321,2420
54480,NORTE DE SANTANDER,MUTISCUA,64,44,10
54599,NORTE DE SANTANDER,RAGONVALIA,203,142,183
52720,NARI„O,SAPUYES,91,40,31
50686,META,SAN JUANITO,738,155,255
50689,META,SAN MARTIN,3175,6965,6316
5792,ANTIOQUIA,TARSO,518,183,151
5842,ANTIOQUIA,URAMITA,7344,4332,5060
5856,ANTIOQUIA,VALPARAISO,438,300,393
8558,ATLANTICO,POLONUEVO,153,416,186
8606,ATLANTICO,REPELON,1144,581,530
5885,ANTIOQUIA,YALI,1856,470,379
5893,ANTIOQUIA,YONDO,16695,5439,4566
52083,NARI„O,BELEN,847,180,163
52203,NARI„O,COLON,1512,213,217
52233,NARI„O,CUMBITARA,10932,3938,3923
5659,ANTIOQUIA,SAN JUAN DE URABA,13715,13189,12755
13600,BOLIVAR,RIO VIEJO,12581,3624,3668
5055,ANTIOQUIA,ARGELIA,21423,11590,12999
5059,ANTIOQUIA,ARMENIA,624,310,256
5107,ANTIOQUIA,BRICE„O,6615,2132,2278
13062,BOLIVAR,ARROYOHONDO,1058,330,789
13688,BOLIVAR,SANTA ROSA DEL SUR,15659,13004,16166
15176,BOYACA,CHIQUINQUIRA,407,1454,1338
15232,BOYACA,CHIQUIZA,10,,
15272,BOYACA,FIRAVITOBA,9,49,47
5142,ANTIOQUIA,CARACOLI,1035,559,511
68773,SANTANDER,SUCRE,2145,205,352
68872,SANTANDER,VILLANUEVA,69,38,32
70418,SUCRE,LOS PALMITOS,11898,8428,8352
70473,SUCRE,MORROA,8309,3742,3355
70523,SUCRE,PALMITO,2537,1122,1405
5318,ANTIOQUIA,GUARNE,1227,3226,3039
5490,ANTIOQUIA,NECOCLI,45548,21577,34217
5543,ANTIOQUIA,PEQUE,14504,9741,10325
5604,ANTIOQUIA,REMEDIOS,10686,3681,4332
76111,VALLE DEL CAUCA,GUADALAJARA DE BUGA,8171,9462,10537
73001,TOLIMA,IBAGUE,21503,87922,88791
73236,TOLIMA,DOLORES,7362,1632,1788
73349,TOLIMA,HONDA,876,764,568
54871,NORTE DE SANTANDER,VILLA CARO,295,207,154
73483,TOLIMA,NATAGAIMA,11159,2568,3585
73624,TOLIMA,ROVIRA,12598,2957,2532
70742,SUCRE,SAN LUIS DE SINCE,1598,2850,2661
73854,TOLIMA,VALLE DE SAN JUAN,1312,629,653
73870,TOLIMA,VILLAHERMOSA,5317,647,644
76054,VALLE DEL CAUCA,ARGELIA,1050,889,806
63272,QUINDIO,FILANDIA,178,954,874
63594,QUINDIO,QUIMBAYA,612,3759,3478
