censo,per_si,pc1_2009,despforz,victim,lndespforz,lnvictim,Id_mun
12347,28.8099213,-1.049921751,610,3,6.413458824,1.098612309,15047
4570,46.70694864,-0.893822014,2,5,0.693147182,1.609437943,15051
6748,46.1106656,-1.051856399,82,,4.406719208,,15087
1465,68.13380282,-1.060415506,70,6,4.248495102,1.791759491,15090
1915,61.76024279,-1.060415506,18,,2.890371799,,15092
5162,44.33333333,-1.060415506,95,8,4.553876877,2.079441547,15097
4201,58.18005808,-1.052790046,167,,5.117993832,,15104
2098,62.5498008,-0.736920834,54,,3.988984108,,15106
4573,43.81223329,-0.974683046,111,,4.709530354,,15109
794,48.7394958,-1.060415506,4,,1.386294365,,15114
3278,58.9673913,-1.060415506,17,1,2.833213329,0,15131
2508,53.99361022,-0.929864109,402,3,5.996451855,1.098612309,15135
3482,61.76092545,-1.060415506,21,,3.044522524,,15162
3131,45.86056645,-0.821087182,103,2,4.634728909,0.693147182,15172
40893,48.4786897,-0.992575765,285,8,5.652489185,2.079441547,15176
3519,50.52631579,-0.968671441,351,3,5.860786438,1.098612309,15180
6331,39.95359629,-0.983424962,867,41,6.765038967,3.713572025,15183
5445,40.0996264,-0.825885594,123,,4.812184334,,15185
2542,52.07423581,-1.060415506,7,2,1.945910096,0.693147182,15187
3872,45.32554257,-1.060415506,0,,1,,15189
8585,58.90178319,-1.028470159,18,3,2.890371799,1.098612309,15204
3278,59.92307692,-0.928428769,72,,4.276666164,,15212
2228,44.3960827,-1.060415506,0,3,1,1.098612309,15215
3133,38.62745098,-0.904178321,168,2,5.123963833,0.693147182,15218
5484,56.67634253,1.246622801,324,13,5.780743599,2.564949274,15223
3186,55.7096248,-1.060415506,7,,1.945910096,,15224
1851,42.56329114,-0.840579927,11,1,2.397895336,0,15226
4330,61.93771626,-0.985963464,6,,1.791759491,,15232
1769,40.7523511,-1.034413218,208,6,5.337538242,1.791759491,15236
83354,48.44749764,-1.039649129,206,17,5.327876091,2.833213329,15238
3716,31.06312292,-1.060415506,200,,5.298317432,,15244
2301,35.0931677,-1.057995439,159,5,5.0689044,1.609437943,15248
5680,63.46987952,-1.060415506,4,,1.386294365,,15272
3078,39.74358974,-1.060415506,4,2,1.386294365,0.693147182,15276
3020,47.80600462,-0.911076784,4,,1.386294365,,15293
4056,42.94605809,-1.060415506,50,2,3.912023067,0.693147182,15296
11845,50.48814505,-1.004378557,161,4,5.081404209,1.386294365,15299
1656,20.29950083,-1.060415506,42,,3.737669706,,15317
8954,51.79378957,-1.0168221,139,3,4.934473991,1.098612309,15322
3849,57.63052209,-1.051301599,116,1,4.753590107,0,15325
3033,48.43205575,-1.057956934,188,,5.236442089,,15332
2224,44.11057692,-1.060415506,14,,2.639057398,,15362
5464,63.83900929,-1.060415506,27,,3.295836926,,15367
3218,38.64370291,-1.002985477,166,,5.111987591,,15368
2722,45.63206578,-0.93435961,765,45,6.639875889,3.80666256,15377
2576,51.57170923,-1.060415506,17,,2.833213329,,15380
1513,75.40687161,-1.060415506,34,,3.526360512,,15401
2537,31.95991091,-0.783513069,67,,4.204692841,,15403
10171,51.79690765,-1.028644085,1,,0,,15407
3603,38.9261745,-1.060415506,144,5,4.969813347,1.609437943,15425
